year,inflation
1958,2.3
1959,2
1960,1.5
1961,1.2
1962,1.3
1963,1.3
1964,1.5
1965,1.3
1966,2.5
1967,3.5
1968,4.6999998
1969,5.8000002
1970,6.1999998
1971,4.6999998
1972,3.0999999
1973,3.5
1974,8.3000002
1975,9.1999998
1976,6.5999999
1977,6.3000002
1978,7.3000002
1979,9.6999998
1980,12.4
1981,10.5
1982,7.4000001
1983,3.9000001
1984,5.0999999
1985,4.4000001
1986,4
1987,3.9000001
1988,4.4000001
1989,4.5
1990,5
1991,4.9000001
1992,3.7
1993,3.3
1994,2.8
1995,3
1996,2.7
1997,2.4000001
1998,2.3
1999,2.0999999
2000,2.4000001
2001,2.7
2002,2.3
2003,1.5
2004,1.8
2005,2.0999999
2006,2.5
2007,2.3
2008,2.3
2009,1.7
2010,1
2011,1.7
2012,2.0999999
2013,1.8
2014,1.8
2015,1.8
2016,2.2
2017,1.8
2018,2.0999999
2019,2.2
2020,1.7
2021,3.5999999
2022,6.0999999
2023,
